Dataset,Link to CT scan data,Link to humerus,Link to femur,Class,Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Body_mass_literature (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference,Dentary Length (mm),Bi_Quad,tree_names
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158043,http://n2t.net/ark:/87602/m4/M158046,Mammalia,,Bovidae,Antilope cervicapra,Blackbuck,NMS 2000.301.2,,37500,150.48,63.48,188.6,57.31,182.42,Q,Antilope cervicapra
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157310,http://n2t.net/ark:/87602/m4/M157313,http://n2t.net/ark:/87602/m4/M157316,Mammalia,,Muridae,Apodemus sylvaticus,Wood mouse ,NHMUK unnumbered,,22,13.67,3.88,19.2,5.02,13.08,Q,Apodemus sylvaticus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158052,http://n2t.net/ark:/87602/m4/M158056,Mammalia,,Viverridae,Arctictis binturong,Binturong,NMS 2015.164.1,,13000,155.24,46.54,150.03,48.23,111.61,Q,Arctictis binturong
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141278,http://n2t.net/ark:/87602/m4/M141282,http://n2t.net/ark:/87602/m4/M141286,Mammalia,,Canidae,Atelocynus microtis,Short-eared dog,FMNH 60674,,7750,119.18,29.74,138.75,30.05,116.29,Q,Atelocynus microtis
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140664,http://n2t.net/ark:/87602/m4/M140670,http://n2t.net/ark:/87602/m4/M140675,Mammalia,,Hystricidae,Atherurus africanus,Africa brush-tailed porcupine,UMZC E3489,,1934,72.75,21.93,82.55,28.79,65.18,Q,Atherurus africanus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157359,http://n2t.net/ark:/87602/m4/M157367,http://n2t.net/ark:/87602/m4/M157379,Mammalia,,Muridae,Bandicota indica,Greater bandicoot rat,NHMUK 1978.896,,720,39.09,12.41,52.83,17.95,40.07,Q,Bandicota indica
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141290,http://n2t.net/ark:/87602/m4/M141294,http://n2t.net/ark:/87602/m4/M141298,Mammalia,,Procyonidae,Bassaricyon alleni,Eastern lowland olingo,FMNH 104935,,1235,69.72,14.93,78.69,16.14,52.73,Q,Bassaricyon alleni
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M141505,http://n2t.net/ark:/87602/m4/M141509,Mammalia,,Bradypodidae,Bradypus variegatus,Brown-throated sloth,FMNH 69589,,4335,159.56,31.4,95.32,28.63,46.34,Q,Bradypus variegatus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M160155,http://n2t.net/ark:/87602/m4/M160158,Mammalia,,Dasypodidae,Cabassous tatouay,Greater naked-tailed armadillo,NHMUK 1948.7.28.2,,5350,64.17,30.41,69.83,27.32,68.59,Q,Cabassous tatouay
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82350,http://n2t.net/ark:/87602/m4/M82353,http://n2t.net/ark:/87602/m4/M82356,Mammalia,,Didelphidae,Caluromys derbianus,Derby's wooly opossum,UMMZ 114856,,297,49.46,10.66,55.07,12.57,42.77,Q,Caluromys derbianus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82280,http://n2t.net/ark:/87602/m4/M82284,http://n2t.net/ark:/87602/m4/M82287,Mammalia,,Didelphidae,Caluromysiops irrupta,Black-shouldered opssum,FMNH 60698,,250,39.17,13.8,48.29,13.55,46.98,Q,Caluromysiops irrupta
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158186,http://n2t.net/ark:/87602/m4/M158190,Mammalia,,Canidae,Canis simensis,Ethiopian wolf,AMNH 81001,,10000,185.13,44.08,192.36,42.82,155.59,Q,Canis simensis
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M141514,http://n2t.net/ark:/87602/m4/M141518,Mammalia,,Bovidae,Capra sibirica,Siberian Ibex,FMNH 134541,,130000,189.88,66.45,215.12,67.68,210.21,Q,Capra sibirica
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158196,http://n2t.net/ark:/87602/m4/M158200,Mammalia,,Felidae,Caracal caracal,Caracal,AMNH 113794,,13750,128.84,30.56,154.52,30.97,74.57,Q,Caracal caracal
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158206,http://n2t.net/ark:/87602/m4/M158210,Mammalia,,Castoridae,Castor canadensis,North American beaver,AMNH 150136,,21820,84.51,39.15,109.18,63.91,104.58,Q,Castor canadensis
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M141524,http://n2t.net/ark:/87602/m4/M141528,Mammalia,,Cebidae,Cebus apella,Tufted capuchin,FMNH 70621,,2500,103.95,25.05,125.12,26.25,66.08,Q,Sapajus apella
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82415,http://n2t.net/ark:/87602/m4/M82418,http://n2t.net/ark:/87602/m4/M82421,Mammalia,,Burramyidae,Cercartetus concinnus,Western pygmy possum,NHMUK 97.11.18.1,,13,10.77,3.44,14.76,3.51,12.06,Q,Cercartetus concinnus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M68222,http://n2t.net/ark:/87602/m4/M68225,http://n2t.net/ark:/87602/m4/M68228,Mammalia,,Didelphidae,Chironectes minimus,Water opossom,UMMZ 126289,,946,45.56,9.99,53.87,13.63,56.58,Q,Chironectes minimus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M141534,http://n2t.net/ark:/87602/m4/M141538,Mammalia,,Pitheciidae,Chiropotes satanas,Black-bearded saki,FMNH 95512,,3000,122.19,22.87,138.35,23.71,58.67,Q,Chiropotes satanas
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157616,http://n2t.net/ark:/87602/m4/M157620,Mammalia,,Megalonychidae,Choloepus hoffmanni,Hoffman's toe-toed sloth,NHMUK 1973.824,,6000,158.25,36.35,147.96,37.3,85.1,Q,Choloepus hoffmanni
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140726,http://n2t.net/ark:/87602/m4/M140729,http://n2t.net/ark:/87602/m4/M140733,Mammalia,,Chrysochloridae,Chrysochloris asiatica,Cape golden mole,UMZC E5472F,,49,12.32,7.99,13.54,5.98,15.62,Q,Chrysochloris asiatica
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157626,http://n2t.net/ark:/87602/m4/M157630,Mammalia,,Cercopithecidae,Colobus satanas,Black colobus,NHMUK 1856.12.29,,4320,169.18,35.2,227.17,38.38,78.25,Q,Colobus satanas
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M159816,http://n2t.net/ark:/87602/m4/M159818,http://n2t.net/ark:/87602/m4/M159819,Mammalia,,Talpidae,Condylura cristata,Star-nosed mole,UMMZ 80270,,84,12.31,8.6,14.3,7.67,18.71,Q,Condylura cristata
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157636,http://n2t.net/ark:/87602/m4/M157640,Mammalia,,Eupleridae,Cryptoprocta ferox,Fossa,NHMUK 1968.6.7.1,,9500,108.19,30.05,129.86,29.27,81.71,Q,Cryptoprocta ferox
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141347,http://n2t.net/ark:/87602/m4/M141351,http://n2t.net/ark:/87602/m4/M141354,Mammalia,,Cuniculidae,Cuniculus taczanowskii,Mountain paca,FMNH 70804,,9000,78.1,22.31,93.96,29.09,77.23,Q,Cuniculus taczanowskii
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140748,http://n2t.net/ark:/87602/m4/M140751,http://n2t.net/ark:/87602/m4/M140754,Mammalia,,Cyclopedidae,Cyclopes didactylus,Silky anteater,UMZC E621,,330,26.56,11.65,33.74,11.21,30.97,Q,Cyclopes didactylus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M158293,http://n2t.net/ark:/87602/m4/M158297,http://n2t.net/ark:/87602/m4/M158301,Mammalia,,Cynocephalidae,Cynocephalus_volans,Philippine colugo ,OUMNH_3404,,1250,97.16,18.5,109.71,17.28,51.86,Q,Cynocephalus volans
