Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference
Glires,Muridae,Meriones unguiculatus,Mongolian Jird,ROM R1689,61,16,5.1,22.95,7
Glires,Muridae,Ondatra zibethicus,Muskrat,ROM 111463,1200,41.25,14,50.45,16.65
Glires,Muridae,Rattus norvegicus,Brown rat,ROM R5644,464,31.5,10.9,41.65,14.25
Glires,Myocastoridae,Myocastor coypus,Coypu,ROM 90843,8130,77.55,25.5,100.95,32.7
Glires,Nesomyidae,Cricetomys emini,Emin's Pouched Rat,ROM 100511,550,46,12.65,61.15,16
Glires,Octodontidae,Octodon degus,Degu,ROM R7876,238,25.25,7.05,34.8,9.45
Glires,Sciuridae,Cynomys leucurus?,White-tailed prairie dog,ROM 79165,1130,40,13.5,48.25,13.5
Glires,Sciuridae,Funisciurus pyrrhopus,Fire-footed Rope Squirrel,ROM 100573,190,31.8,9.1,41.55,10.25
Glires,Sciuridae,Marmota caligata,Hoary marmot,ROM 92037,6250,90.05,28.4,99.2,25.1
Glires,Sciuridae,Marmota monax,Groundhog,ROM R1938,3012,68.95,24.15,80.85,22
Glires,Sciuridae,Sciurus carolinensis,Eastern gray squirrel,ROM 21472,765,44.7,13.1,57.4,14.6
Glires,Sciuridae,Sciurus niger,Fox squirrel,ROM R6166,1109,57.8,16.85,72.75,18.25
Glires,Sciuridae,Spermophilus adocetus,Lesser tropical ground squirrel,ROM R810,345,30.3,8.9,37.1,10.05
Glires,Sciuridae,Spermophilus franklinii,Franklin's ground squirrel,ROM 43326,475,34,11.9,43.9,12
Glires,Sciuridae,Spermophilus lateralis,Golden-mantel squirrel,ROM R7280,159,26,7.3,35.2,8.7
Glires,Sciuridae,Spermophilus richardsonii,Richardson's ground squirrel,ROM 91974,345,31.95,10.1,38.75,10.9
Glires,Sciuridae,Spermophilus tridecemlineatus,Thirteen-lined ground squirrel,ROM 102662,195,26.65,9.7,34.1,8.8
Glires,Sciuridae,Tamias amoenus,Yellow-pine chipmunk,ROM 80704,52.9,18.25,5.25,24.7,6
Glires,Sciuridae,Tamias minimus,Least chipmunk,ROM 83120,60.5,18.1,5.6,24.05,5.95
Glires,Sciuridae,Tamiasciurus hudsonicus,American Red Squirrel,ROM 81437,260,31.4,10,40.2,9.95
